Player Name,List_Year,Rk,R,Rookie_Year,Rookie_IP,Rookie_WAR,Rookie_FIP,Year2,Y2_IP,Y2_WAR,Y2_FIP,Year3,Y3_IP,Y3_WAR,Y3_FIP,Team Name,Team Rank,Pos,Pos2,Wt,Bats,Throws,Born Date,Place Of Birth,DraftYear,Round,Pick,Team,HiLvl,LastMLBSeasonToDate,BATop100,BATeam,BPTop100,FGTop100,MLBPipelineTop100,MLBPipelineTeam,Made_MLB
Mike Montgomery,2012,23,2015,2015,,,,2016,,,,2017,,,,Kansas City Royals,1,P,P,180,L,L,7/1/89,"Valencia,CA",2008,1,36,KCA,MLB,2020,23,1,NA,NA,NA,NA,1
Tyler Glasnow,2017,23,2016,2017,,,,2018,,,,2019,,,,Pittsburgh Pirates,3,P,P,200,L,R,8/23/93,"Newhall,CA",2011,5,152,PIT,MLB,2020,23,3,8,1,NA,NA,1
Lucas Giolito,2017,25,2016,2017,,,,2018,,,,2019,,,,Chicago White Sox,---,P,P,230,R,R,7/14/94,"Santa Monica,CA",2012,1,16,WAS,MLB,2020,25,11,2,NA,NA,NA,1
Jarrod Parker,2012,26,2011,2012,,,,2013,,,,2014,,,,Oakland Athletics,4,P,P,180,R,R,11/24/88,"Fort Wayne,IN",2007,1,9,ARI,MLB,2013,26,1,4,NA,NA,NA,1
Yordano Ventura,2014,26,2013,2014,,,,2015,,,,2016,,,,Kansas City Royals,2,P,P,140,R,R,6/3/91,"Samana,DR",2008,0,0,KCA,MLB,2016,26,2,NA,NA,NA,NA,1
Aaron Sanchez,2015,27,2014,2015,,,,2016,,,,2017,,,,Toronto Blue Jays,2,P,P,190,R,R,7/1/92,"Barstow,CA",2010,1,34,TOR,MLB,2019,27,2,NA,NA,NA,NA,1
Zack Britton,2011,28,2011,2011,,,,2012,,,,2013,,,,Baltimore Orioles,2,P,P,190,L,L,12/22/87,"Panorama City,CA",2006,3,85,BAL,MLB,2020,28,2,NA,NA,NA,NA,1
Jose Berrios,2016,28,2016,2016,,,,2017,,,,2018,,,,Minnesota Twins,2,P,P,190,R,R,5/27/94,"Bayamon,PR",2012,1,32,MIN,MLB,2020,28,2,19,2,NA,NA,1
Danny Hultzen,2013,29,2019,2019,3.1,0.1,2.91,2020,,,,2021,,,,Seattle Mariners,3,P,P,195,L,L,11/28/89,"Bethesda,MD",2011,1,2,SEA,MLB,2019,29,3,NA,NA,NA,NA,1
Manny Banuelos,2012,29,2015,2015,,,,2016,,,,2017,,,,New York Yankees,2,P,P,155,L,L,3/13/91,"El Vergelito,MX",2008,0,0,NYA,MLB,2019,29,2,NA,NA,NA,NA,1
Jameson Taillon,2015,29,2016,2016,,,,2017,,,,2018,,,,Pittsburgh Pirates,2,P,P,225,R,R,11/18/91,"The Woodlands,TX",2010,1,2,PIT,MLB,2019,29,2,NA,NA,NA,NA,1
Jose De Leon,2017,29,2016,2017,,,,2018,,,,2019,,,,Tampa Bay Rays,3,P,P,210,R,R,8/7/92,"Isabela,PR",2013,24,724,LAN,MLB,2020,29,3,33,3,NA,NA,1
Drew Pomeranz,2012,30,2011,2012,,,,2013,,,,2014,,,,Colorado Rockies,1,P,P,190,R,L,11/22/88,"Collierville,TN",2010,1,5,CLE,MLB,2020,30,1,NA,NA,NA,NA,1
Carlos Martinez,2014,31,2013,2014,,,,2015,,,,2016,,,,St. Louis Cardinals,2,P,P,165,R,R,9/21/91,"Colinas del sur,DR",2012,0,0,SLN,MLB,2020,31,2,NA,NA,NA,NA,1
Reynaldo Lopez,2017,31,2016,2017,,,,2018,,,,2019,,,,Chicago White Sox,---,P,P,185,R,R,1/4/94,"San Pedro de Macoris,DR",2012,0,0,WAS,MLB,2020,31,46,4,NA,NA,NA,1
Tyler Matzek,2011,32,2014,2014,,,,2015,,,,2016,,,,Colorado Rockies,1,P,P,230,L,L,10/19/90,"Mission Viejo,CA",2009,1,11,COL,MLB,2020,32,1,NA,NA,NA,NA,1
Robert Stephenson,2016,32,2016,2016,,,,2017,,,,2018,,,,Cincinnati Reds,1,P,P,190,R,R,2/24/93,"Martinez,CA",2011,1,27,CIN,MLB,2020,32,1,35,2,NA,NA,1
Kyle Crick,2014,33,2017,2017,,,,2018,,,,2019,,,,San Francisco Giants,1,P,P,220,L,R,11/30/92,"Sherman,TX",2011,1,49,SFN,MLB,2020,33,1,NA,NA,NA,NA,1
Christian Friedrich,2010,33,2012,2012,,,,2013,,,,2014,,,,Colorado Rockies,2,P,P,210,R,L,7/8/87,"Evanston,IL",2008,1,25,COL,MLB,2016,33,2,NA,NA,NA,NA,1
Josh Hader,2017,33,2017,2017,,,,2018,,,,2019,,,,Milwaukee Brewers,2,P,P,160,L,L,4/7/94,"Millersville,MD",2012,19,582,BAL,MLB,2020,33,2,38,3,NA,NA,1
Matt Wisler,2015,34,2015,2015,,,,2016,,,,2017,,,,San Diego Padres,1,P,P,175,R,R,9/12/92,"Bryan,OH",2011,7,233,SDN,MLB,2020,34,1,NA,NA,NA,NA,1
Wade Davis,2010,34,2009,2010,,,,2011,,,,2012,,,,Tampa Bay Rays,3,P,P,220,R,R,9/7/85,"Lake Wales,FL",2004,3,75,TBA,MLB,2020,34,3,NA,NA,NA,NA,1
Luis Severino,2015,35,2015,2015,,,,2016,,,,2017,,,,New York Yankees,1,P,P,195,R,R,2/20/94,"Sabana del Mar,DR",2012,0,0,NYA,MLB,2019,35,1,NA,NA,NA,NA,1
Brad Peacock,2012,36,2011,2012,,,,2013,,,,2014,,,,Oakland Athletics,2,P,P,175,R,R,2/2/88,"Miami,FL",2006,41,1231,WAS,MLB,2020,36,2,3,NA,NA,NA,1
Chris Archer,2013,36,2012,2013,,,,2014,,,,2015,,,,Tampa Bay Rays,2,P,P,165,R,R,9/26/88,"Clayton,NC",2006,5,161,CLE,MLB,2019,36,2,NA,NA,NA,NA,1
Jeff Hoffman,2017,36,2016,2017,,,,2018,,,,2019,,,,Colorado Rockies,3,P,P,182,R,R,1/8/93,"Latham,NY",2014,1,9,TOR,MLB,2020,36,3,44,2,NA,NA,1
Mike Minor,2011,37,2010,2011,,,,2012,,,,2013,,,,Atlanta Braves,4,P,P,210,R,L,12/26/87,"Chapel Hill,TN",2009,1,7,ATL,MLB,2020,37,4,NA,NA,NA,NA,1
Jon Gray,2016,37,2015,2016,,,,2017,,,,2018,,,,Colorado Rockies,1,P,P,245,R,R,11/5/91,"Chandler,OK",2013,1,3,COL,MLB,2020,37,1,33,2,NA,NA,1
Carl Edwards,2015,38,2015,2015,,,,2016,,,,2017,,,,Chicago Cubs,5,P,P,155,R,R,9/3/91,"Newberry,SC",2011,48,1464,TEX,MLB,2020,38,5,NA,NA,NA,NA,1
Aaron Nola,2015,39,2015,2015,,,,2016,,,,2017,,,,Philadelphia Phillies,2,P,P,170,R,R,6/4/93,"Baton Rouge,LA",2014,1,7,PHI,MLB,2020,39,2,NA,NA,NA,NA,1
Trevor Rosenthal,2013,39,2012,2013,,,,2014,,,,2015,,,,St. Louis Cardinals,4,P,P,190,R,R,5/29/90,"Lee's Summit,MO",2009,21,639,SLN,MLB,2020,39,4,NA,NA,NA,NA,1
Aaron Crow,2010,40,2011,2011,,,,2012,,,,2013,,,,Kansas City Royals,2,P,P,205,R,R,11/11/86,"Topeka,KS",2009,1,12,KCA,MLB,2014,40,2,NA,NA,NA,NA,1
Matt Barnes,2013,40,2014,2014,,,,2015,,,,2016,,,,Boston Red Sox,3,P,P,208,R,R,6/17/90,"Bethel,CT",2011,1,19,BOS,MLB,2020,40,3,NA,NA,NA,NA,1
Jordan Lyles,2011,42,2011,2011,,,,2012,,,,2013,,,,Houston Astros,1,P,P,185,R,R,10/19/90,"Hartsville,SC",2008,1,38,HOU,MLB,2020,42,1,NA,NA,NA,NA,1
Hyun-Jin Ryu,2013,42,2013,2013,,,,2014,,,,2015,,,,Los Angeles Dodgers,1,P,P,215,L,L,3/25/87,"Inchoen,KR",2012,0,0,LAN,MLB,2020,42,1,NA,NA,NA,NA,1
Andrew Heaney,2015,42,2014,2015,,,,2016,,,,2017,,,,Los Angeles Angels,---,P,P,164,L,L,6/5/91,"Oklahoma City,OK",2012,1,9,MIA,MLB,2020,42,NA,NA,NA,NA,NA,1
Nick Hagadone,2010,44,2011,2011,,,,2012,,,,2013,,,,Cleveland Indians,3,P,P,230,L,L,1/1/86,"Sandpoint,ID",2007,1,55,BOS,MLB,2015,44,3,NA,NA,NA,NA,1
Henry Owens,2015,44,2015,2015,,,,2016,,,,2017,,,,Boston Red Sox,2,P,P,190,L,L,7/21/92,"Huntington Beach,CA",2011,1,36,BOS,MLB,2016,44,2,NA,NA,NA,NA,1
Jenrry Mejia,2011,44,2010,2011,,,,2012,,,,2013,,,,New York Mets,1,P,P,162,R,R,10/11/89,"Azua,DR",2007,0,0,NYN,MLB,2015,44,1,NA,NA,NA,NA,1
Julio Teheran,2013,44,2011,2013,,,,2014,,,,2015,,,,Atlanta Braves,1,P,P,150,R,R,1/27/91,"Cartagena,CB",2007,0,0,ATL,MLB,2020,44,1,NA,NA,NA,NA,1
Casey Kelly,2013,45,2012,2013,,,,2014,,,,2015,,,,San Diego Padres,1,P,P,194,R,R,10/4/89,"Sarasota,FL",2008,1,30,BOS,MLB,2018,45,1,NA,NA,NA,NA,1
Randall Delgado,2012,46,2011,2012,,,,2013,,,,2014,,,,Atlanta Braves,3,P,P,165,R,R,2/9/90,"Las Tablas,PN",2006,0,0,ATL,MLB,2018,46,3,NA,NA,NA,NA,1
Casey Crosby,2010,47,2012,2012,,,,2013,,,,2014,,,,Detroit Tigers,2,P,P,200,R,L,9/17/88,"Maple Park,IL",2007,5,181,DET,MLB,2012,47,2,NA,NA,NA,NA,1
Alex White,2011,47,2011,2011,,,,2012,,,,2013,,,,Cleveland Indians,2,P,P,185,R,R,8/29/88,"Greenville,NC",2009,1,15,CLE,MLB,2012,47,2,NA,NA,NA,NA,1
Michael Fulmer,2016,47,2016,2016,,,,2017,,,,2018,,,,Detroit Tigers,1,P,P,200,R,R,3/15/93,"Oklahoma City,OK",2011,1,44,NYN,MLB,2020,47,1,53,1,NA,NA,1
Chris Withrow,2010,48,2013,2013,,,,2014,,,,2015,,,,Los Angeles Dodgers,2,P,P,195,R,R,4/1/89,"Midland,TX",2007,1,20,LAN,MLB,2016,48,2,NA,NA,NA,NA,1
Sean Manaea,2016,48,2016,2016,,,,2017,,,,2018,,,,Oakland Athletics,2,P,P,235,R,L,2/1/92,"Wantah,IN",2013,1,34,KCA,MLB,2020,48,2,68,2,NA,NA,1
Dylan Bundy,2015,48,2012,2015,,,,2016,,,,2017,,,,Baltimore Orioles,1,P,P,200,B,R,11/15/92,"Tulsa,OK",2011,1,4,BAL,MLB,2020,48,1,NA,NA,NA,NA,1
Jarred Cosart,2012,50,2013,2013,,,,2014,,,,2015,,,,Houston Astros,2,P,P,180,R,R,5/25/90,"League City,TX",2008,38,1156,PHI,MLB,2017,50,2,NA,NA,NA,NA,1
Kenta Maeda,2016,50,2016,2016,,,,2017,,,,2018,,,,Los Angeles Dodgers,5,P,P,154,R,R,4/11/88,"Osaka,JP",2016,0,0,LAN,MLB,2020,50,5,NA,NA,NA,NA,1
Marco Gonzales,2015,50,2014,2015,,,,2016,,,,2017,,,,St. Louis Cardinals,1,P,P,185,L,L,2/16/92,"Fort Collins,CO",2013,1,19,SLN,MLB,2020,50,1,NA,NA,NA,NA,1
Luke Weaver,2017,50,2016,2017,,,,2018,,,,2019,,,,St. Louis Cardinals,2,P,P,185,R,R,8/21/93,"DeLand,FL",2014,1,27,SLN,MLB,2020,50,2,68,3,NA,NA,1
David Paulino,2017,51,2016,2017,,,,2018,,,,2019,,,,Houston Astros,3,P,P,180,R,R,2/6/94,"Nizao,DR",2010,0,0,DET,MLB,2018,51,3,54,3,NA,NA,1
Kohl Stewart,2014,52,2018,2018,36.2,0.4,3.92,2019,25.1,-0.2,6.06,2020,,,,Minnesota Twins,4,P,P,200,R,R,10/7/94,"Houston,TX",2013,1,4,MIN,MLB,2019,52,4,NA,NA,NA,NA,1
Erick Fedde,2017,52,2017,2017,,,,2018,,,,2019,,,,Washington Nationals,2,P,P,165,R,R,2/25/93,"Las Vegas,NV",2014,1,18,WAS,MLB,2020,52,2,60,2,NA,NA,1
German Marquez,2017,53,2016,2017,,,,2018,,,,2019,,,,Colorado Rockies,5,P,P,184,R,R,2/22/95,"San Felix,VZ",2011,0,0,TBA,MLB,2020,53,5,73,4,NA,NA,1
Matt Harvey,2012,54,2012,2012,,,,2013,,,,2014,,,,New York Mets,2,P,P,210,R,R,3/27/89,"New London,CT",2010,1,7,NYN,MLB,2020,54,2,NA,NA,NA,NA,1
Marcus Stroman,2014,55,2014,2014,,,,2015,,,,2016,,,,Toronto Blue Jays,2,P,P,180,R,R,5/1/91,"Stony Brook,NY",2012,1,22,TOR,MLB,2019,55,2,NA,NA,NA,NA,1
Brandon Finnegan,2015,55,2014,2015,,,,2016,,,,2017,,,,Kansas City Royals,2,P,P,180,L,L,4/14/93,"Fort Worth,TX",2014,1,17,KCA,MLB,2018,55,2,NA,NA,NA,NA,1
Edwin Escobar,2014,56,2014,2014,,,,2015,,,,2016,,,,San Francisco Giants,2,P,P,185,L,L,4/22/92,"La Buaera,VZ",2008,0,0,TEX,MLB,2016,56,2,NA,NA,NA,NA,1
Lucas Sims,2014,57,2017,2017,,,,2018,,,,2019,,,,Atlanta Braves,1,P,P,200,R,R,5/10/94,"Lawrenceville,GA",2012,1,21,ATL,MLB,2020,57,1,NA,NA,NA,NA,1
Simon Castro,2011,58,2013,2013,,,,2014,,,,2015,,,,San Diego Padres,3,P,P,203,R,R,4/9/88,"San Jose de los Llanos,DR",2006,0,0,SDN,MLB,2017,58,3,NA,NA,NA,NA,1
Raisel Iglesias,2015,58,2015,2015,,,,2016,,,,2017,,,,Cincinnati Reds,2,P,P,163,R,R,1/4/90,"Isla de la Juventud,CU",2014,0,0,CIN,MLB,2020,58,2,NA,NA,NA,NA,1
Mike Foltynewicz,2014,59,2014,2014,,,,2015,,,,2016,,,,Houston Astros,4,P,P,200,R,R,10/7/91,"Sterling,IL",2010,1,19,HOU,MLB,2020,59,4,NA,NA,NA,NA,1
Eduardo Rodriguez,2015,59,2015,2015,,,,2016,,,,2017,,,,Boston Red Sox,4,P,P,231,L,L,4/7/93,"Valencia,VZ",2010,0,0,BAL,MLB,2019,59,4,NA,NA,NA,NA,1
Jorge Lopez,2016,59,2015,2016,,,,2017,,,,2018,,,,Milwaukee Brewers,2,P,P,205,R,R,2/10/93,"Cayey,PR",2011,2,70,MIL,MLB,2020,59,2,57,3,NA,NA,1
Kyle Freeland,2015,60,2017,2017,,,,2018,,,,2019,,,,Colorado Rockies,3,P,P,170,L,L,5/14/93,"Denver,CO",2014,1,8,COL,MLB,2020,60,3,NA,NA,NA,NA,1
Aaron Blair,2016,60,2016,2016,,,,2017,,,,2018,,,,Atlanta Braves,3,P,P,205,R,R,5/26/92,"Las Vegas,NV",2013,1,36,ARI,MLB,2017,60,3,56,4,NA,NA,1
Taylor Guerrieri,2013,62,2018,2018,9.2,-0.1,5.02,2019,26.1,-0.1,5.38,2020,,,,Tampa Bay Rays,3,P,P,195,R,R,12/1/92,"Columbia,SC",2011,1,24,TBA,MLB,2019,62,3,NA,NA,NA,NA,1
Alex Meyer,2015,62,2015,2015,,,,2016,,,,2017,,,,Minnesota Twins,5,P,P,220,R,R,1/3/90,"Greensburg,IN",2011,1,23,WAS,MLB,2017,62,5,NA,NA,NA,NA,1
Dellin Betances,2012,63,2011,2012,,,,2013,,,,2014,,,,New York Yankees,3,P,P,215,R,R,3/23/88,"Brooklyn,NY",2006,8,254,NYA,MLB,2020,63,3,NA,NA,NA,NA,1
Erik Johnson,2014,63,2013,2014,,,,2015,,,,2016,,,,Chicago White Sox,2,P,P,210,R,R,12/30/89,"Mountain View,CA",2011,2,80,CHA,MLB,2016,63,2,NA,NA,NA,NA,1
Nick Kingham,2014,64,2018,2018,,,,2019,,,,2020,,,,Pittsburgh Pirates,5,P,P,215,R,R,11/8/91,"Las Vegas,NV",2010,4,117,PIT,MLB,2019,64,5,NA,NA,NA,NA,1
Sonny Gray,2012,65,2013,2013,,,,2014,,,,2015,,,,Oakland Athletics,3,P,P,185,R,R,11/7/89,"Smyrna,TN",2011,1,18,OAK,MLB,2020,65,3,NA,NA,NA,NA,1
Daniel Hudson,2010,66,2009,2010,,,,2011,,,,2012,,,,Chicago White Sox,3,P,P,225,R,R,3/9/87,"Virginia Beach,VA",2008,5,150,CHA,MLB,2020,66,3,NA,NA,NA,NA,1
Addison Reed,2012,66,2011,2012,,,,2013,,,,2014,,,,Chicago White Sox,1,P,P,215,L,L,12/27/88,"Montclair,CA",2010,3,95,CHA,MLB,2018,66,1,NA,NA,NA,NA,1
Anthony Ranaudo,2011,67,2014,2014,,,,2015,,,,2016,,,,Boston Red Sox,4,P,P,225,R,R,9/9/89,"Jackson,NJ",2010,1,39,BOS,MLB,2016,67,4,NA,NA,NA,NA,1
Jake Odorizzi,2014,67,2012,2014,,,,2015,,,,2016,,,,Tampa Bay Rays,1,P,P,175,R,R,3/27/90,"Highland,IL",2008,1,32,MIL,MLB,2020,67,1,NA,NA,NA,NA,1
Hunter Harvey,2015,68,2019,2019,,,,2020,,,,2021,,,,Baltimore Orioles,2,P,P,210,R,R,12/9/94,"Catawba,NC",2013,1,22,BAL,MLB,2020,68,2,NA,NA,NA,NA,1
Alex Colome,2010,68,2013,2013,,,,2014,,,,2015,,,,Tampa Bay Rays,7,P,P,184,R,R,12/31/88,"San Pedro de Macoris,DR",2007,0,0,TBA,MLB,2020,68,7,NA,NA,NA,NA,1
Danny Duffy,2011,68,2011,2011,,,,2012,,,,2013,,,,Kansas City Royals,7,P,P,185,L,L,12/21/88,"Goleta,CA",2007,3,96,KCA,MLB,2020,68,7,NA,NA,NA,NA,1
Kyle Gibson,2013,68,2013,2013,,,,2014,,,,2015,,,,Minnesota Twins,5,P,P,210,R,R,10/23/87,"Greenfield,IN",2009,1,22,MIN,MLB,2020,68,5,NA,NA,NA,NA,1
Rafael Montero,2014,68,2014,2014,,,,2015,,,,2016,,,,New York Mets,3,P,P,170,R,R,10/17/90,"Higuerito,DR",2011,0,0,NYN,MLB,2020,68,3,NA,NA,NA,NA,1
Dillon Tate,2016,69,2019,2019,,,,2020,,,,2021,,,,Texas Rangers,5,P,P,195,R,R,5/1/94,"Harbor City,CA",2015,1,4,TEX,MLB,2020,69,5,36,3,NA,NA,1
Trevor May,2012,69,2014,2014,,,,2015,,,,2016,,,,Philadelphia Phillies,1,P,P,215,R,R,9/23/89,"Kelso,WA",2008,4,136,PHI,MLB,2020,69,1,NA,NA,NA,NA,1
Wily Peralta,2013,69,2012,2013,,,,2014,,,,2015,,,,Milwaukee Brewers,1,P,P,191,R,R,5/8/89,"Samana,DR",2005,0,0,MIL,MLB,2019,69,1,NA,NA,NA,NA,1
Cody Reed,2017,69,2016,2017,,,,2018,,,,2019,,,,Cincinnati Reds,2,P,P,220,L,L,4/15/93,"Horn Lake,MS",2013,2,46,KCA,MLB,2020,69,2,NA,NA,NA,NA,1
Taylor Jungmann,2012,70,2015,2015,,,,2016,,,,2017,,,,Milwaukee Brewers,2,P,P,195,R,R,12/18/89,"Temple,TX",2011,1,12,MIL,MLB,2017,70,2,NA,NA,NA,NA,1
Carson Fulmer,2016,70,2016,2016,,,,2017,,,,2018,,,,Chicago White Sox,2,P,P,200,R,R,12/13/93,"Lakeland,FL",2015,1,8,CHA,MLB,2020,70,2,38,1,NA,NA,1
Jed Bradley,2012,71,2016,2016,7,0,4.58,2017,,,,2018,,,,Milwaukee Brewers,3,P,P,203,L,L,6/12/90,"Huntsville,AL",2011,1,15,MIL,MLB,2016,71,3,NA,NA,NA,NA,1
Jesse Biddle,2014,71,2018,2018,63,0.3,3.88,2019,28,-0.4,6.46,2020,0.2,0,4.69,Philadelphia Phillies,2,P,P,225,L,L,10/22/91,"Philadelphia,PA",2010,1,27,PHI,MLB,2020,71,2,NA,NA,NA,NA,1
Jhoulys Chacin,2010,71,2009,2010,,,,2011,,,,2012,,,,Colorado Rockies,4,P,P,168,R,R,1/7/88,"Maracaibo,VZ",2004,0,0,COL,MLB,2020,71,4,NA,NA,NA,NA,1
Jake McGee,2011,71,2010,2011,,,,2012,,,,2013,,,,Tampa Bay Rays,4,P,P,190,L,L,8/6/86,"San Jose,CA",2004,5,135,TBA,MLB,2020,71,4,NA,NA,NA,NA,1
Mike Leake,2010,72,2010,2010,,,,2011,,,,2012,,,,Cincinnati Reds,3,P,P,160,R,R,11/12/87,"San Diego,CA",2009,1,8,CIN,MLB,2019,72,3,NA,NA,NA,NA,1
Sean Reid-Foley,2017,75,2018,2018,,,,2019,,,,2020,,,,Toronto Blue Jays,3,P,P,216,R,R,8/30/95,"Jacksonville,FL",2014,2,49,TOR,MLB,2020,75,3,64,2,NA,NA,1
Jake Thompson,2016,75,2016,2016,,,,2017,,,,2018,,,,Philadelphia Phillies,3,P,P,235,R,R,1/31/94,"Rockwall,TX",2012,2,91,DET,MLB,2018,75,3,55,2,NA,NA,1
